content,ref,citation
" 최근 저축은행 비리사태와 같은 고위공직자들의 알선·청탁, 스폰서, 전관예우 등의 숨겨진 권력 유착관계를 근절하기 위해 이해충돌방지법 세미나에서 김택(행정학) 중원대 교수는 “법조계와 금융감독, 공정거래, 국세행정 등 소위 권력기관에서 광범위하게 발생하고 있는 전관예우 관행으로 정책이 왜곡되고, 사회통합과 국가 경쟁력에 심각한 부작용이 초래되고 있다”며 이같이 주장했다. 김 교수는 이날  중구 명동 은행회관에서 열린 세미나에서 기조발제를 통해 “전관예우를 빙자한 은밀한 부패, 고위정치권과 연계된 이권개입형·정경유착형 비리가 개선되지 않고 있다”며 법적·제도적 근절방안을 촉구했다. 김영란 위원장은 “공정사회 전제조건은 사회전반의 청렴수준을 높이는 것”이라며 “국가 청렴도 향상은 공공부문만으로는 한계가 있으므로 기업의 윤리경영실천도 반드시 병행돼야 한다”고 밝혔다. ","(문화일보, 2011-05-31)",문화일보. (2011-05-31). <저축은행 로비 파문 확산>“권력 유착 관계 근절위해 알선·청탁 방지법 제정을”.
" 김황식 국무총리가 하반기 대대적인 공직 감찰을 예고했다. 저축은행 사태 등에서 드러났듯 공직사회의 부패 정도가 한계를 넘어섰다는 판단에 따른 것이다.김 총리는 15일 38개 중앙부처 감사관을 초청해 가진 오찬 간담회에서 “최근 저축은행 사태 등 크고 작은 공직비리 사건이 발생해 국민들이 매우 걱정하고 있다”며 “총리실은 각 부처와 연계해 하반기부터 강도 높은 공직감찰 활동을 전개할 예정”이라고 밝혔다.총리실은 공직복무관리관실을 중심으로 한 정부합동공직복무점검단을 통해 다음달부터 공직자들의 정치적 중립성 훼손, 직무태만, 인사청탁, 금품수수 등을 집중 점검할 계획이다. 총리실은 공직비리나 정치권 줄서기가 주로 고위직에서 벌어진다고 판단, 고위 공직자 감찰 활동에 중점을 둘 것으로 알려졌다.김 총리는 “우리 사회는 양적 성장에 치중한 탓에 준법의식이 낮고 부정직한 사람이 너무 많아 사회 전반이 총체적인 비리를 겪고 있다”며 “이제는 범국가적으로 이런 문제를 정리할 때가 됐다”고 의지를 드러냈다.이명박 대통령도 이날 한국자유총연맹 관계자 250여명을 초청한 청와대 오찬에서 “있는 사람들이 부정과 비리를 더 저지르는 경우가 있다. 그렇게 되면 상대적 박탈감이 심해진다”며 “소득을 높이는 노력만큼이나 사회를 공정한 사회로 만들어야 한다”고 강조했다. 이 대통령은 전날 국무회의에서도 부패 문제를 거론하며 “우리 사회가 좀 한계에 왔다, 이런 생각은 국민들도 할 수 있을 것”이라고 말했다.이처럼 정부가 대대적인 감찰에 나선 것은 이해충돌방지법(가칭) 제정도 검토할 예정이다. ","(국민일보, 2011-06-15)",국민일보. (2011-06-15). MB “부패 한계왔다” 공직자 대대적 사정.
" 김영란 국민권익위원회원장이 14일 국무회의에서 ‘공직자의 청탁 수수 및 사익(私益) 추구 금지법’을 제안한 것은 공직자들에게 공익(公益)과 사익의 분계선을 명확히 획정해야 부패 바이러스의 창궐을 원천적으로 막을 수 있다고 판단했기 때문인 것으로 이해된다. 현행 공직자윤리법 제2조의 2는 ‘이해충돌방지 의무’로 직무의 공정성·적정성과 공익 우선을 강조하고 있지만, 시행령도 시행규칙도 부연하지 않은 선언적 수사에 그치고 있다. 이 조항이 2005년 5월18일 신설된 이후 실제로 공직자가 관할 직무와 관련해 사익과 충돌할 경우 공익이 아닌 사익을 우선시해도 단속할 수 있는 효력을 갖지 못해왔다. 따라서 공직자의 청탁 수수·사익추구를 막으려면 근본적으로 이를 금지할 수 있는 ‘김영란법(法)’ 제정이 절실히 요구되는 것이다. ‘김영란법’의 요지는 첫째, 공직자가 받는 모든 청탁을 등록하게 하고 둘째, 직위를 남용한 편파적 직무 수행에 대해 형사범죄를 구성하지 않더라도 징계 문책할 수 있게 하는 내용이다. 그러나 ‘김영란법’은 이날 일부 국무위원들의 기득권적 사유(思惟)에 가로막혔다. 이들은 우선 청탁과 민원 간의 구분부터 모호하다고 주장했다. 어떤 사안이 불순한 청탁인지 검토 대상 민원인지는 직무상의 보편적 관점과 상식의 선에서 충분히 판단할 수 있다. 그런데도 그 경계가 모호하다고 강변하는 건 기득권에 안주하려는 ‘물타기 수법’으로 들린다. 이명박 대통령은 이날 국무회의에서 “공직 부패가 한계에 왔다”고 개탄했다. 김황식 국무총리도 15일 공직사회에 대한 하반기 전방위적 사정(司正) 방침을 밝혔다. 사정이 역대 정부에서 되풀이돼온 주기적 이벤트 차원에서 벗어나려면 공직부패 근절을 위한 특단의 법적 장치가 마땅히 필요하다. ‘김영란법’ 제정이 시급하다.[","(문화일보, 2011-06-16)",문화일보. (2011-06-16). <사설>공직부패 바이러스 막을 ‘김영란法’ 제정 시급하다.
" “혼자 힘으로 처리 못해…” “곤란한 입장 처해…”국민권익위원회 이해충돌방지법 제정을 추진하고 청탁 내용을 내부 인터넷망에 등록하는 청탁등록 시스템을 활성화한다는 방침이다.김영란 위원장은 18일 경찰청에서 중앙부처와 지방자치단체 등 1000여개 공공기관 감사관들이 참석한 가운데 열리는 반부패 청렴정책 추진지침 전달 회의에서 매뉴얼을 공개할 예정이다. [ ","(세계일보, 2012-01-17)","세계일보. (2012-01-17). ""청탁 받으면 이렇게 얘기하세요""."
" 앞으로 공직자가 직무 관련자로부터 금품·선물·향응을 받을 경우 대가성 여부와 관계없이 형사 처벌을 받는다. 제삼자가 공직자의 업무에 영향력을 행사해도 처벌받는다.김영란 국민권익위원회원장은 13일 기자간담회를 갖고 이 같은 내용을 담은 이른바 ‘김영란법’(가칭 부정청탁 및 이해충돌 방지법)의 제정을 추진하고 있다고 밝혔다.이 법안에 따르면 공직자가 자신의 직무·권한과 관련된 사업자나 다른 공직자로부터 일정 기준을 초과하는 금품, 향응·접대, 편의 제공 등을 받을 경우 형사처벌된다. 받지는 않았지만 요구했을 경우에도 처벌된다. 그러나 공직자가 금품 등을 지체 없이 반환하거나 소속 기관장에게 인도하면 처벌받지 않는다.현행 법률로는 대가성 없는 금품수수 등은 뇌물죄가 성립되지 않는다. 그러나 앞으로는 대가성이 없는 경우에도 적용돼 형법상 뇌물죄보다 형사처벌 범위가 넓어진다.법안은 또 공직자에게 부정청탁을 한 사람도 형사처벌을 받도록 했다. 부정청탁이란 이해당사자가 공직자로 하여금 위법 행위를 하도록 영향력을 행사하거나 제삼자가 공직자의 특정 업무에 알선·개입하는 행위를 말한다.공익 차원에서 정책, 사업, 제도 개선을 제안하거나 불합리한 행정제도의 해결을 요청하는 행위 등은 이에 해당되지 않는다. 부정청탁을 받은 공직자는 정상적으로 업무를 처리했더라도 신고하지 않았다면 징계를 받게 된다.이와 함께 사적인 이해관계 개입 행위와 소속기관에 대한 가족 채용 또는 계약 체결, 미공개정보의 이용 등도 모두 금지된다. 국민권익위원회는 오는 21일 2차 공개토론회를 열어 의견을 수렴한 뒤 4월쯤 입법예고할 예정이다. ","(국민일보, 2012-02-13)",국민일보. (2012-02-13). ‘공직자 금품수수·향응’ 대가성 없어도 처벌… 권익위 ‘김영란법’ 제정 추진.
" 금품·향응땐 무조건 형사처벌국민권익위원회원회가 공직사회에 만연한 청탁비리를 근절하기 위해 누구든지 공직자에게 청탁을 하면 형사처벌하기로 했다. 또 공직자가 직무 관련자에게 금품·선물·향응을 받거나 요구할 경우 대가성 여부와 관계없이 형사처벌된다.김영란 국민권익위원회원장은 13일 기자단과의 오찬 간담회에서 이 같은 내용을 골자로 하는 일명 이해충돌방지법을 통과시키는 것을 목표로, 오는 21일 공개토론회를 거쳐 다음달 중 법안작성을 마친 뒤 4월쯤 입법예고할 계획이다.  [ ","(세계일보, 2012-02-13)","세계일보. (2012-02-13). 권익위, 공직자 청탁금지 ‘김영란법’ 추진."
" 앞으로 공직자가 직무 관련자에게 금품·선물·향응을 받거나 요구하는 경우 대가성 여부와 관계없이 형사처벌된다. 제삼자도 공직자의 특정 업무에 영향력을 행사하면 형사처벌되고, 정상적으로 업무를 처리했더라도 청탁받은 사실을 사전에 신고하지 않은 공직자도 징계받는다.●제삼자도 공무 영향력 행사땐 처벌국민권익위원회원회가 연내 제정을 목표로 추진 중인 이해충돌방지법 등을 통한 사전 신고 의무를 부여, 부정청탁을 받은 뒤 정상적으로 업무를 처리했더라도 신고를 하지 않았다면 징계하기로 했다. 김 위원장은 “청탁 자체를 할 수 없다는 선언적인 의미가 있어 상당한 예방 효과가 있을 것”이라고 강조했다.국민권익위원회는 이 법을 9월 정기국회에서 통과시킬 목표로 오는 21일 2차 공개토론회를 거쳐 다음 달 법안을 마련한 뒤 4월쯤 입법예고할 계획이다. ","(서울신문, 2012-02-14)",서울신문. (2012-02-14). “공직자 직무관련 금품·향응땐 형사처벌”.
 앞으로는 공직자가 부동산 개발이나 금융 관련 등 미공개정보를 이용해 재산상 거래·투자를 하거나 다른 사람에게 알리면 3년 이하의 징역 또는 3000만원 이하의 벌금형에 처해진다. 단속·조사·입찰 등 알려지지 않은 정보를 외부에 제공하는 행위도 처벌받게 될 전망이다.국민권익위원회원회는 21일 오후 대한상공회의소에서 이해충돌방지법 제정을 위한 2차 공개토론회를 열어 이 같은 골자의 제정안을 공개했다. 또 공직자에게 부정청탁을 하거나 청탁을 받은 공직자가 업무를 부정하게 처리할 경우도 1년 이하의 징역 또는 1000만원 이하의 벌금형을 받게 된다. 국민권익위원회는 이날 토론회에서 논의된 내용을 포함해 국민신문고 등을 통해 다양한 국민의견을 수렴한 뒤 다음 달 안으로 법안을 마련할 예정이다. ,"(서울신문, 2012-02-22)",서울신문. (2012-02-22). “공직자 미공개정보 이용시 3년 이하 징역”.
" 올해 최대 이슈는 선거(4월 총선, 12월 대선)가 될 것이다. 선거열풍에 묻혀서 간과되면 안될 것이 바로 부정부패 문제이다. 우리가 뽑은 권력자와 그들에 의해 임명된 공직자가 부패한다면 선거는 희망이 아니라 재앙이 될 것이다. 지난해 국제투명성기구의 국가청렴도 평가에서 한국은 10점 만점에 5.4점으로 조사대상 183개국 중 43위였다. 부패를 막기 위해 법제도를 정비하고 강화해야 한다는 데는  정치인이나 국민 모두 적극 찬성한다. 그러나 실제로 부정부패를 척결하기 위한 입법을 하려고 하면 저항이 만만치 않다. 이유는 부패방지입법이 강화될수록 권력자와 유력자의 사익추구가 제한되기 때문이다. 현재 부패방지를 위한 법으로는 이해충돌방지법  ","(경향신문, 2012-03-04)","경향신문. (2012-03-04). [경향마당]부정청탁 방지법 입법, 올해가 적기."
 앞으로 업무 과정의 내부정보를 이용해 사익을 챙기는 공무원은 발 붙일 곳이 없어진다.국민권익위원회원회는 5일 업무를 처리하면서 알게 된 정보로 주식이나 부동산을 매매한 공무원을 신고하면 공익증진에 기여한 것으로 간주해 포상금을 적극 지급하기로 방침을 정했다. 공무원들의 사익추구 등 부패를 막기 위해 국민권익위원회가 역점사업으로 제정을 추진 중인 이해충돌방지법는 처벌 규정이 들어 있다.한편 국민권익위원회는 최근 세종시 인근의 지자체 공무원이 직무 관련 정보를 이용해 땅을 사들이고 형질을 변경했다는 신고를 받고 조사 중이다. ,"(서울신문, 2012-03-06)",서울신문. (2012-03-06). 내부정보 이용 ‘私益 공무원’ 뿌리 뽑는다.
