id,date,actor,period
3,2011-05-31,김영란,first
11,2011-06-15,이명박,first
11,2011-06-15,이명박,first
11,2011-06-15,청와대,first
16,2011-06-16,김영란,first
16,2011-06-16,국민권익위원회,first
25,2011-06-16,이명박,first
25,2011-06-16,이명박,first
30,2012-01-17,국민권익위원회,first
31,2012-01-17,김영란,first
35,2012-02-13,김영란,first
35,2012-02-13,국민권익위원회,first
46,2012-02-13,국민권익위원회,first
50,2012-02-13,김영란,first
50,2012-02-13,국민권익위원회,first
56,2012-02-14,국민권익위원회,first
62,2012-02-22,국민권익위원회,first
67,2012-03-04,국제투명성기구,first
75,2012-03-06,국민권익위원회,first
76,2012-03-06,국민권익위원회,first
80,2012-04-25,이명박,first
80,2012-04-25,이명박,first
93,2012-04-25,국제투명성기구,first
132,2012-07-18,김영란,first
134,2012-07-18,국민권익위원회,first
135,2012-07-18,국민권익위원회,first
136,2012-07-18,김영란,first
139,2012-07-18,국민권익위원회,first
140,2012-07-18,국민권익위원회,first
141,2012-07-18,법무부,first
141,2012-07-18,행정안전부,first
142,2012-07-18,국민권익위원회,first
150,2012-08-16,국민권익위원회,first
152,2012-08-16,국민권익위원회,first
152,2012-08-16,김영란,first
153,2012-08-16,국민권익위원회,first
162,2012-08-16,국민권익위원회,first
163,2012-08-16,법무부,first
164,2012-08-16,법제처,first
170,2012-08-16,김영란,first
170,2012-08-16,국민권익위원회,first
175,2012-08-16,이명박,first
175,2012-08-16,이명박,first
181,2012-08-16,국제투명성기구,first
207,2012-08-17,국민권익위원회,first
209,2012-08-17,국민권익위원회,first
213,2012-08-23,김영란,first
213,2012-08-23,국민권익위원회,first
220,2012-11-26,김영란,first
220,2012-11-26,국민권익위원회,first
221,2012-11-26,국민권익위원회,first
221,2012-11-26,국민권익위원회,first
222,2012-11-27,김영란,first
222,2012-11-27,이명박,first
222,2012-11-27,이명박,first
223,2012-11-27,국민권익위원회,first
225,2012-11-27,청와대,first
228,2012-11-27,청와대,first
235,2012-11-27,김영란,first
241,2012-12-10,이명박,first
241,2012-12-10,이명박,first
244,2012-12-10,법무부,first
247,2012-12-11,이성보,first
247,2012-12-11,국민권익위원회,first
248,2012-12-11,국민권익위원회,first
249,2012-12-11,국민권익위원회,first
249,2012-12-11,국민권익위원회,first
250,2012-12-11,국민권익위원회,first
271,2013-04-08,국민권익위원회,first
271,2013-04-08,박근혜,first
271,2013-04-08,박근혜,first
274,2013-04-08,박근혜,first
274,2013-04-08,박근혜,first
274,2013-04-08,국민권익위원회,first
274,2013-04-08,법제처,first
275,2013-04-08,청와대,first
275,2013-04-08,국민권익위원회,first
275,2013-04-08,법제처,first
275,2013-04-08,국민권익위원회,first
275,2013-04-08,법제처,first
276,2013-04-08,국민권익위원회,first
276,2013-04-08,법제처,first
278,2013-04-08,국민권익위원회,first
287,2013-04-12,법무부,first
288,2013-04-12,법무부,first
288,2013-04-12,김영란,first
294,2013-05-02,김영란,first
295,2013-05-02,김영란,first
299,2013-05-03,김영란,first
299,2013-05-03,문재인,first
299,2013-05-03,더불어민주당,first
301,2013-05-03,청와대,first
302,2013-05-03,청와대,first
304,2013-05-03,국민권익위원회,first
314,2013-05-03,김영란,first
324,2013-05-04,김영란,first
326,2013-05-04,헌법재판소,first
329,2013-05-04,김영란,first
330,2013-05-04,박근혜,first
330,2013-05-04,박근혜,first
335,2013-05-10,국민권익위원회,first
344,2013-05-17,박근혜,first
344,2013-05-17,박근혜,first
354,2013-05-20,법무부,first
355,2013-05-20,법무부,first
369,2013-05-21,김영란,first
369,2013-05-21,국민권익위원회,first
369,2013-05-21,김영란,first
369,2013-05-21,국민권익위원회,first
383,2013-05-25,국제투명성기구,first
389,2013-05-25,더불어민주당,first
393,2013-05-27,김영란,first
394,2013-05-27,정무위원회,first
394,2013-05-27,정무위원회,first
394,2013-05-27,더불어민주당,first
395,2013-05-27,법무부,first
396,2013-05-27,국민권익위원회,first
