id,date,title,content,url,press,ref,year,month,quarter,yq,quarterly
28,2011-05-31,<저축은행 로비 파문 확산>“권력 유착 관계 근절위해 알선·청탁 방지법 제정을”," 최근 저축은행 비리사태와 같은 고위공직자들의 알선·청탁, 스폰서, 전관예우 등의 숨겨진 권력 유착관계를 근절하기 위해 ‘알선·청탁 및 이해충돌 방지법’을 제정하고, 비리범죄에 대해서는 실형률 제고, 집행유예 선고제한 등 ‘무관용 제재’를 해야 한다는 주장이 제기됐다.국민권익위원회(위원장 김영란)가 31일 주최한 ‘공정사회 실현을 위한 국가청렴도 제고’ 세미나에서 김택(행정학) 중원대 교수는 “법조계와 금융감독, 공정거래, 국세행정 등 소위 권력기관에서 광범위하게 발생하고 있는 전관예우 관행으로 정책이 왜곡되고, 사회통합과 국가 경쟁력에 심각한 부작용이 초래되고 있다”며 이같이 주장했다. 김 교수는 이날  중구 명동 은행회관에서 열린 세미나에서 기조발제를 통해 “전관예우를 빙자한 은밀한 부패, 고위정치권과 연계된 이권개입형·정경유착형 비리가 개선되지 않고 있다”며 법적·제도적 근절방안을 촉구했다. 김영란 위원장은 “공정사회 전제조건은 사회전반의 청렴수준을 높이는 것”이라며 “국가 청렴도 향상은 공공부문만으로는 한계가 있으므로 기업의 윤리경영실천도 반드시 병행돼야 한다”고 밝혔다. ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=021&aid=0002075962,문화일보,"(문화일보, 2011-05-31)",2011,5,2,2011: 2Q,2011-04-01
32,2011-06-15,MB “부패 한계왔다” 공직자 대대적 사정," 김황식 국무총리가 하반기 대대적인 공직 감찰을 예고했다. 저축은행 사태 등에서 드러났듯 공직사회의 부패 정도가 한계를 넘어섰다는 판단에 따른 것이다.김 총리는 15일 38개 중앙부처 감사관을 초청해 가진 오찬 간담회에서 “최근 저축은행 사태 등 크고 작은 공직비리 사건이 발생해 국민들이 매우 걱정하고 있다”며 “총리실은 각 부처와 연계해 하반기부터 강도 높은 공직감찰 활동을 전개할 예정”이라고 밝혔다.총리실은 공직복무관리관실을 중심으로 한 정부합동공직복무점검단을 통해 다음달부터 공직자들의 정치적 중립성 훼손, 직무태만, 인사청탁, 금품수수 등을 집중 점검할 계획이다. 총리실은 공직비리나 정치권 줄서기가 주로 고위직에서 벌어진다고 판단, 고위 공직자 감찰 활동에 중점을 둘 것으로 알려졌다.김 총리는 “우리 사회는 양적 성장에 치중한 탓에 준법의식이 낮고 부정직한 사람이 너무 많아 사회 전반이 총체적인 비리를 겪고 있다”며 “이제는 범국가적으로 이런 문제를 정리할 때가 됐다”고 의지를 드러냈다.이명박 대통령도 이날 한국자유총연맹 관계자 250여명을 초청한 청와대 오찬에서 “있는 사람들이 부정과 비리를 더 저지르는 경우가 있다. 그렇게 되면 상대적 박탈감이 심해진다”며 “소득을 높이는 노력만큼이나 사회를 공정한 사회로 만들어야 한다”고 강조했다. 이 대통령은 전날 국무회의에서도 부패 문제를 거론하며 “우리 사회가 좀 한계에 왔다, 이런 생각은 국민들도 할 수 있을 것”이라고 말했다.이처럼 정부가 대대적인 감찰에 나선 것은 ‘공정사회’라는 현 정부의 핵심 가치를 구현하는 한편 집권 후반기 레임덕에 따른 공직사회의 동요를 막기 위한 포석으로 해석된다.김 총리는 “내년 정치일정으로 정치권 줄서기, 눈치보기 등 공직자로서 중립적 자세가 흐트러질 여지가 많고, 금년 중 전체 공기업 기관장 가운데 절반이 교체될 예정이라 기강해이 가능성이 어느 때보다 크다”고 우려했다.이와 함께 국민권익위원회는 다음달부터 ‘청탁수수 근절 대국민 토론회’를 연속 개최하는 등 범국민적 청탁근절 운동에 나선다. 권익위는 청탁을 거절하는 행동요령을 담은 ‘청탁 방지 가이드라인’, 청탁자와 청탁 내용을 기록·관리하는 ‘청탁등록 시스템’ 등을 도입해 전체 공공기관에 전파하고 미국이나 캐나다에서 시행 중인 ‘이해충돌방지법’을 참조한 ‘공직자의 청탁수수 및 사익추구 금지법’(가칭) 제정도 검토할 예정이다. ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=005&aid=0000464664,국민일보,"(국민일보, 2011-06-15)",2011,6,2,2011: 2Q,2011-04-01
33,2011-06-16,<사설>공직부패 바이러스 막을 ‘김영란法’ 제정 시급하다," 김영란 국민권익위원장이 14일 국무회의에서 ‘공직자의 청탁 수수 및 사익(私益) 추구 금지법’을 제안한 것은 공직자들에게 공익(公益)과 사익의 분계선을 명확히 획정해야 부패 바이러스의 창궐을 원천적으로 막을 수 있다고 판단했기 때문인 것으로 이해된다. 현행 공직자윤리법 제2조의 2는 ‘이해충돌방지 의무’로 직무의 공정성·적정성과 공익 우선을 강조하고 있지만, 시행령도 시행규칙도 부연하지 않은 선언적 수사에 그치고 있다. 이 조항이 2005년 5월18일 신설된 이후 실제로 공직자가 관할 직무와 관련해 사익과 충돌할 경우 공익이 아닌 사익을 우선시해도 단속할 수 있는 효력을 갖지 못해왔다. 따라서 공직자의 청탁 수수·사익 추구를 막으려면 근본적으로 이를 금지할 수 있는 ‘김영란법(法)’ 제정이 절실히 요구되는 것이다. ‘김영란법’의 요지는 첫째, 공직자가 받는 모든 청탁을 등록하게 하고 둘째, 직위를 남용한 편파적 직무 수행에 대해 형사범죄를 구성하지 않더라도 징계 문책할 수 있게 하는 내용이다. 그러나 ‘김영란법’은 이날 일부 국무위원들의 기득권적 사유(思惟)에 가로막혔다. 이들은 우선 청탁과 민원 간의 구분부터 모호하다고 주장했다. 어떤 사안이 불순한 청탁인지 검토 대상 민원인지는 직무상의 보편적 관점과 상식의 선에서 충분히 판단할 수 있다. 그런데도 그 경계가 모호하다고 강변하는 건 기득권에 안주하려는 ‘물타기 수법’으로 들린다. 이명박 대통령은 이날 국무회의에서 “공직 부패가 한계에 왔다”고 개탄했다. 김황식 국무총리도 15일 공직사회에 대한 하반기 전방위적 사정(司正) 방침을 밝혔다. 사정이 역대 정부에서 되풀이돼온 주기적 이벤트 차원에서 벗어나려면 공직부패 근절을 위한 특단의 법적 장치가 마땅히 필요하다. ‘김영란법’ 제정이 시급하다.[",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=021&aid=0002077653,문화일보,"(문화일보, 2011-06-16)",2011,6,2,2011: 2Q,2011-04-01
66,2012-01-17,"""청탁 받으면 이렇게 얘기하세요"""," “혼자 힘으로 처리 못해…” “곤란한 입장 처해…”권익위 ‘공무원 대응 매뉴얼’ 공개공무원을 난감하게 하는 각종 청탁 유형을 구분하고 각각의 대응 방안을 설명한 매뉴얼이 나왔다. 국민권익위원회는 17일 청탁의 위법성 판단과 대처 요령이 담긴 ‘알선·청탁이 괴로워’라는 제목의 책을 발간했다. 그러나 정작 만연한 청탁 관행으로 괴로워하는 공무원에게 얼마나 실질적인 도움을 줄 수 있을지는 의문이다. 〈 1월4일자  참조〉권익위는 청탁이라고 여겨지는 상황이 닥치면 접촉 또는 발언 기회를 주지 않거나 청탁 사실이 공개될 수 있다는 사실을 설명하라고 제안했다. 가령 “모처럼 만났는데 업무 이야기는 나중에 하는 것이 좋을 것 같다”, “업무 특성상 상급자나 관련 부서와 협의해야 하기 때문에 나 혼자 힘으로 처리할 수 없다”, “부하 직원이 청탁 등록 시스템에 내용을 등록하게 돼 곤란한 입장에 처하게 된다”는 식이다. 사실상 청탁을 받는 당사자가 상대방을 잘 설득하는 수밖에 없다는 것이다.권익위는 “매뉴얼이 공직자가 내외부로부터 청탁에 직면할 경우 청탁인지 부탁인지 판단하고, 이에 대처할 구체적인 지침으로 활용될 수 있을 것으로 기대한다”고 밝혔다. 아울러 ‘부정청탁 및 이해충돌 방지법’ 제정을 추진하고 청탁 내용을 내부 인터넷망에 등록하는 청탁등록 시스템을 활성화한다는 방침이다.김영란 위원장은 18일 경찰청에서 중앙부처와 지방자치단체 등 1000여개 공공기관 감사관들이 참석한 가운데 열리는 반부패 청렴정책 추진지침 전달 회의에서 매뉴얼을 공개할 예정이다. [ ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=022&aid=0002353259,세계일보,"(세계일보, 2012-01-17)",2012,1,1,2012: 1Q,2012-01-01
80,2012-02-13,‘공직자 금품수수·향응’ 대가성 없어도 처벌… 권익위 ‘김영란법’ 제정 추진," 앞으로 공직자가 직무 관련자로부터 금품·선물·향응을 받을 경우 대가성 여부와 관계없이 형사 처벌을 받는다. 제3자가 공직자의 업무에 영향력을 행사해도 처벌받는다.김영란 국민권익위원장은 13일 기자간담회를 갖고 이 같은 내용을 담은 이른바 ‘김영란법’(가칭 부정청탁 및 이해충돌 방지법)의 제정을 추진하고 있다고 밝혔다.이 법안에 따르면 공직자가 자신의 직무·권한과 관련된 사업자나 다른 공직자로부터 일정 기준을 초과하는 금품, 향응·접대, 편의 제공 등을 받을 경우 형사처벌된다. 받지는 않았지만 요구했을 경우에도 처벌된다. 그러나 공직자가 금품 등을 지체 없이 반환하거나 소속 기관장에게 인도하면 처벌받지 않는다.현행 법률로는 대가성 없는 금품 수수 등은 뇌물죄가 성립되지 않는다. 그러나 앞으로는 대가성이 없는 경우에도 적용돼 형법상 뇌물죄보다 형사처벌 범위가 넓어진다.법안은 또 공직자에게 부정한 청탁을 한 사람도 형사처벌을 받도록 했다. 부정한 청탁이란 이해당사자가 공직자로 하여금 위법 행위를 하도록 영향력을 행사하거나 제3자가 공직자의 특정 업무에 알선·개입하는 행위를 말한다.공익 차원에서 정책, 사업, 제도 개선을 제안하거나 불합리한 행정제도의 해결을 요청하는 행위 등은 이에 해당되지 않는다. 부정청탁을 받은 공직자는 정상적으로 업무를 처리했더라도 신고하지 않았다면 징계를 받게 된다.이와 함께 사적인 이해관계 개입 행위와 소속기관에 대한 가족 채용 또는 계약 체결, 미공개 정보의 이용 등도 모두 금지된다. 권익위는 오는 21일 2차 공개토론회를 열어 의견을 수렴한 뒤 4월쯤 입법예고할 예정이다. ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=005&aid=0000500948,국민일보,"(국민일보, 2012-02-13)",2012,2,1,2012: 1Q,2012-01-01
81,2012-02-13,"권익위, 공직자 청탁금지 ‘김영란법’ 추진"," 금품·향응땐 무조건 형사처벌국민권익위원회가 공직사회에 만연한 청탁비리를 근절하기 위해 누구든지 공직자에게 청탁을 하면 형사처벌하기로 했다. 또 공직자가 직무 관련자에게 금품·선물·향응을 받거나 요구할 경우 대가성 여부와 관계없이 형사처벌된다.김영란 권익위원장은 13일 기자단과의 오찬 간담회에서 이 같은 내용을 골자로 하는 일명 ‘김영란법’(가칭 부정청탁 및 이해충돌 방지법)을 제정키로 했다고 밝혔다.법안에 따르면 공직자에게 ‘부정청탁’을 하면 형사처벌을 받으며, 청탁을 받은 공직자도 무조건 해당 사항을 ‘청탁등록 시스템’을 통해 소속 기관장에게 신고해야 한다. 청탁에 응하지 않고 정상적으로 업무를 처리했더라도 신고하지 않으면 징계처분을 받을 수 있다. 다만, 공익 차원에서 정책·사업·제도 등의 개선을 건의하거나 불합리한 행정제도에 대해 국민에게 불편·부담을 주는 사항의 해결을 요구하는 행위 등은 부정청탁의 범주에 포함하지 않기로 했다.인사채용 비리 가능성을 차단하기 위해 고위공직자나 인사담당자의 가족은 아예 소속 기관에 채용하지 못하도록 하는 내용도 포함됐다.김 위원장은 “함부로 청탁하면 형사처벌 된다는 점에서 (청탁을) 예방하는 효과를 기대한다”고 말했다.권익위는 19대 정기국회에서 ‘김영란법’을 통과시키는 것을 목표로, 오는 21일 공개토론회를 거쳐 다음달 중 법안작성을 마친 뒤 4월쯤 입법예고할 계획이다.  [ ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=022&aid=0002361925,세계일보,"(세계일보, 2012-02-13)",2012,2,1,2012: 1Q,2012-01-01
82,2012-02-14,“공직자 직무관련 금품·향응땐 형사처벌”," 앞으로 공직자가 직무 관련자에게 금품·선물·향응을 받거나 요구하는 경우 대가성 여부와 관계없이 형사처벌된다. 제3자도 공직자의 특정 업무에 영향력을 행사하면 형사처벌되고, 정상적으로 업무를 처리했더라도 청탁받은 사실을 사전에 신고하지 않은 공직자도 징계받는다.●제3자도 공무 영향력 행사땐 처벌국민권익위원회가 연내 제정을 목표로 추진 중인 ‘부정청탁 및 이해충돌 방지법’(일명 김영란법)의 윤곽이 공개됐다. 김영란 권익위원장은 13일 단과의 오찬 간담회에서 법 제정의 배경과 주요 내용을 직접 소개했다.법안에 따르면 모든 공직자는 직무 권한 범위의 사업자 또는 다른 공직자에게 일정 기준을 초과하는 금품, 향응·접대, 편의 등을 받거나 요구하는 경우 형사처벌된다. 이는 대가성이 없는 경우도 포함되는 것으로, 기존 형법상 뇌물죄보다 형사처벌 범위가 넓다. 현재는 금품과 직무수행 간 대가성이 인정되지 않으면 규제하기가 어렵다.공직자가 금품 등을 받으면 금품 제공자에게 지체 없이 반환하거나 소속 기관장에게 인도해야 하며 이 경우 공직자는 처벌받지 않는다. 또 누구든지 공직자에게 부정청탁을 해서는 안 되며, 위반 시 형사처벌된다. ●부정청탁 사실 사전 신고 의무화김 위원장은 “직접적인 이해 당사자의 경우 자칫 고충민원 제기까지 위축될 소지가 있고 공무원이 정하는 대로 무조건 따라야 한다는 오해를 일으킬 수 있어 ‘명백한 위법 행위’로 제한했다.”고 설명했다. 아울러 부정청탁을 받은 공직자에게 ‘청탁등록 시스템’ 등을 통한 사전 신고 의무를 부여, 부정청탁을 받은 뒤 정상적으로 업무를 처리했더라도 신고를 하지 않았다면 징계하기로 했다. 김 위원장은 “청탁 자체를 할 수 없다는 선언적인 의미가 있어 상당한 예방 효과가 있을 것”이라고 강조했다.권익위는 이 법을 9월 정기국회에서 통과시킬 목표로 오는 21일 2차 공개토론회를 거쳐 다음 달 법안을 마련한 뒤 4월쯤 입법예고할 계획이다. ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=081&aid=0002261394,서울신문,"(서울신문, 2012-02-14)",2012,2,1,2012: 1Q,2012-01-01
86,2012-02-22,“공직자 미공개정보 이용시 3년 이하 징역”, 앞으로는 공직자가 부동산 개발이나 금융 관련 등 미공개 정보를 이용해 재산상 거래·투자를 하거나 다른 사람에게 알리면 3년 이하의 징역 또는 3000만원 이하의 벌금형에 처해진다. 단속·조사·입찰 등 알려지지 않은 정보를 외부에 제공하는 행위도 처벌받게 될 전망이다.국민권익위원회는 21일 오후 대한상공회의소에서 ‘부정청탁 및 이해충돌 방지법’ 제정을 위한 2차 공개토론회를 열어 이 같은 골자의 제정안을 공개했다. 또 공직자에게 부정 청탁을 하거나 청탁을 받은 공직자가 업무를 부정하게 처리할 경우도 1년 이하의 징역 또는 1000만원 이하의 벌금형을 받게 된다. 권익위는 이날 토론회에서 논의된 내용을 포함해 국민신문고 등을 통해 다양한 국민의견을 수렴한 뒤 다음 달 안으로 법안을 마련할 예정이다. ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=081&aid=0002263004,서울신문,"(서울신문, 2012-02-22)",2012,2,1,2012: 1Q,2012-01-01
91,2012-03-04,"[경향마당]부정청탁 방지법 입법, 올해가 적기"," 올해 최대 이슈는 선거(4월 총선, 12월 대선)가 될 것이다. 선거열풍에 묻혀서 간과되면 안될 것이 바로 부정부패 문제이다. 우리가 뽑은 권력자와 그들에 의해 임명된 공직자가 부패한다면 선거는 희망이 아니라 재앙이 될 것이다. 지난해 국제투명성기구의 국가청렴도 평가에서 한국은 10점 만점에 5.4점으로 조사대상 183개국 중 43위였다. 부패를 막기 위해 법제도를 정비하고 강화해야 한다는 데는  정치인이나 국민 모두 적극 찬성한다. 그러나 실제로 부정부패를 척결하기 위한 입법을 하려고 하면 저항이 만만치 않다. 이유는 부패방지입법이 강화될수록 권력자와 유력자의 사익 추구가 제한되기 때문이다. 현재 부패방지를 위한 법으로는 ‘부패방지 및 국민권익위원회의 설치와 운영에 관한 법률’ ‘공직자윤리법’ 등이 있다. 그러나 이들 법은 체계적이고 실효성 있는 대책을 포함하고 있지 못하다.대가성 없는 금품수수는 뇌물이 아니기 때문에 고위층의 스폰서가 합법적으로 인정되고 있다. 공직자에게 법망을 피해 사적 이익을 제공하는 것을 ‘장기보험’의 하나로 인식하는 풍조도 있다. 손해를 보지 않기 위해 또는 경쟁 상대방이 청탁을 하는데 나만 가만히 있으면 손해를 볼 것 같아 청탁할 수밖에 없다는 것이 현실이다. 이러한 상황에서 국민권익위원회가 ‘부정청탁 및 이해충돌 방지법안’을 올해 안에 입법하려는 것은 시의적절하다. 이 법안은 부정부패의 시발점이라고도 할 수 있는 부정청탁을 금지하고, 공직자가 자신 또는 가족, 친족 등과 이해관계가 있는 직무를 수행하는 것을 금지한다. 공직자의 직무에 영향을 미치는 외부활동도 금지한다. 이렇게 공직자의 사적 이익이 직무수행에 장애를 일으킬 수 있는 상황을 사전에 예방하는 것을 주된 내용으로 한다.처벌 위주인 종래의 부정부패 방지대책과 달리 이 법안은 사적 이익을 추구하는 부정부패의 본질을 바로 보고 그에 대한 실효성 있는 대책을 담고 있다. 이 법안의 입법은 협의과정에서 부처이기주의의 희생양이 될 수도 있고, 민간세력으로부터도 은밀한 견제를 받을 수 있다. 이 법안이 어려움을 돌파하고 입법 취지를 살린 채 조속히 입법 되기를 촉구한다. ‘’  ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=032&aid=0002197736,경향신문,"(경향신문, 2012-03-04)",2012,3,1,2012: 1Q,2012-01-01
93,2012-03-06,내부정보 이용 ‘私益 공무원’ 뿌리 뽑는다," 앞으로 업무 과정의 내부정보를 이용해 사익을 챙기는 공무원은 발 붙일 곳이 없어진다.국민권익위원회는 5일 업무를 처리하면서 알게 된 정보로 주식이나 부동산을 매매한 공무원을 신고하면 공익증진에 기여한 것으로 간주해 포상금을 적극 지급하기로 방침을 정했다. 공무원들의 사익 추구 등 부패를 막기 위해 권익위가 역점사업으로 제정을 추진 중인 ‘부정청탁 및 이해충돌 방지법’(일명 김영란법)을 측면지원하겠다는 방책이다.내부정보를 부당하게 활용한 공직자에 대한 신고·포상 제도가 지금까지 없었던 것은 아니다. 권익위는 “2006년부터 공직자 비리행위 신고에 대한 포상금 제도를 운영해 왔으나 실효를 거두지 못했던 게 사실”이라면서 “포상금 지급 정책을 더 적극적으로 펴고 이에 대한 홍보도 활성화한다면 직무상 정보로 이익을 보려는 공직 분위기 자체가 차단될 것”이라고 말했다.현행 부패방지법(제7조)에 따르면 공직자는 업무처리 중 알게 된 비밀을 이용해 재물 또는 재산상의 이익을 취득하거나 제3자로 하여금 취득하게 해서는 안 된다. 그러나 현실적으로 공직자의 직무상 정보를 이용한 투기는 적발 자체가 어려울 뿐 아니라 설령 적발하더라도 솜방망이 처벌에 그친 사례가 대부분이었다.실제로 포상금 제도가 시행된 2006년 이후 지난해까지 공직자의 직무이용 투기 관련 신고포상 건수는 고작 38건. 이들에 대한 포상금액도 3억 4650만원에 그쳤다. 이 가운데서도 특히 미공개 정보로 주식이나 부동산을 거래하다 신고로 적발된 사례는 단 3건으로, 이들 신고자에게 주어진 포상금은 건당 500만원씩 모두 1500만원에 불과했다. “최근 문제가 된 외교통상부 주가조작 의혹의 경우처럼 내부정보를 주식, 부동산 매매에 활용하는 등의 비리를 차단하기 위해서는 내부의 자발적인 신고문화가 전제돼야 한다.”는 게 권익위의 판단이다.신고포상제 카드를 적극 활용하는 한편 직무 정보를 부당 활용한 공무원에 대한 실질적인 처벌도 이뤄진다. 다음 달쯤 입법예고될 예정인 ‘김영란법’에는 ‘공무원이 부동산 개발이나 금융 관련 미공개 정보를 이용해 재산상 거래·투자를 하거나 타인에게 알리면 3년 이하의 징역 또는 3000만원 이하의 벌금형에 처한다.’는 처벌 규정이 들어 있다.한편 권익위는 최근 세종시 인근의 지자체 공무원이 직무 관련 정보를 이용해 땅을 사들이고 형질을 변경했다는 신고를 받고 조사 중이다. ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=081&aid=0002265278,서울신문,"(서울신문, 2012-03-06)",2012,3,1,2012: 1Q,2012-01-01
