topic,term,beta
1,특권,4.372464517234134e-21
2,특권,7.464372660887093e-24
3,특권,2.5734670845193977e-28
4,특권,0.011430605475071767
5,특권,3.226297864733404e-20
6,특권,2.7540323884334893e-16
7,특권,1.911384797899165e-177
8,특권,2.3273264736547803e-26
9,특권,4.793501487208779e-4
1,관리,0.003194733567079913
2,관리,8.483489508790406e-14
3,관리,1.661561882293826e-11
4,관리,1.7290201478173766e-4
5,관리,1.468613085429617e-26
6,관리,6.937901542985269e-18
7,관리,0.001962400743081406
8,관리,0.0035638337142226283
9,관리,0.002462801536522579
1,공동주택,3.964235707863857e-202
2,공동주택,7.44199355621921e-204
3,공동주택,3.254593497796436e-200
4,공동주택,1.49373580853027e-199
5,공동주택,1.1612789418035818e-203
6,공동주택,9.220152086969099e-197
7,공동주택,1.3423939332789897e-31
8,공동주택,0.004713670491874908
9,공동주택,2.758758958775002e-23
1,채용,0.00502351133054578
2,채용,0.00306551685318927
3,채용,1.754086477438507e-27
4,채용,0.004229626158646142
5,채용,2.2263684506798183e-4
6,채용,3.089526490543864e-13
7,채용,1.4075925137585753e-4
8,채용,1.1735324866496109e-4
9,채용,0.008207428702635874
1,후보자,4.953732509183274e-4
2,후보자,1.4359828531011574e-21
3,후보자,0.004703968855483365
4,후보자,0.00600490036464036
5,후보자,1.1621648269108038e-10
6,후보자,2.8210223840064493e-12
7,후보자,4.560903950069902e-34
8,후보자,1.5616865956993975e-30
9,후보자,1.9535539795487034e-4
1,부패,0.0016193914460511964
2,부패,5.910476979612397e-4
3,부패,0.005277705833666377
4,부패,5.299122477596835e-26
5,부패,0.006305270028801833
6,부패,0.001918344024727318
7,부패,3.837679880187316e-5
8,부패,1.136722641664619e-17
9,부패,0.03158358254971515
1,국회,8.654155810451264e-4
2,국회,0.03936251093596928
3,국회,0.0028105500257024738
4,국회,0.024913621631081313
5,국회,0.012709532190187946
6,국회,0.00405427817551289
7,국회,5.171422838168907e-4
8,국회,0.02336937294784805
9,국회,0.0026591344679827568
1,의원,2.7899074301544302e-15
2,의원,0.013089419981709103
3,의원,1.6553322046692392e-4
