id,date,title,content,url
1,2012.10.29. 오후 6:40,"권익위, 가격담합 '손해배상제·집단소송제' 도입으로 막는다(종합)","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	(서울=뉴스1) 조재현 기자 = 기업의 가격담합으로 인한 피해를 구제하기 위해 다양한 구제방안이 마련될 것으로 보인다.국민권익위원회는 중대 경제범죄인 담합행위로 인한 피해를 예방하기 위해 가격담합으로 인한 실제 손해액을 넘어 배상하는 징벌적 손해배상제도 도입을 공정거래위원회(이하 공정위)에 권고했다고 29일 밝혔다.또 소송방식과 관련해 소액 피해자의 권리를 효율적으로 구제하기 위해 대표당사자의 소송결과가 피해 집단 모두에게 영향을 미치는 집단소송제도 도입도 적극 검토할 것을 권고했다.권익위는 밀가루, 고추장 등 생필품을 포함한 광범위한 품목의 가격담합이 이루어지는 상황에서 사실상 피해구제가 곤란한 기존의 피해배상 방식을 개선하기 위해 이같이 결정했다.국민신문고에 접수된 담합으로 인한 피해민원도 2009년 1465건, 2010년 2580건, 2011년 3383건 등으로 점차 증가하고 있다.권익위는 공정거래법상 고발의무 대상 자체가 불명확해 고발 여부에 대한 공정위의 재량범위가 크고 고발원칙이 무의미해질 수 있는 고발과정의 투명성을 높이는 방안도 제시했다. 권익위의 실태조사에 따르면 실제 2001년부터 2011년까지 담합사건 전체 시정실적 542건 중 45건(8.3%)만이 검찰에 고발됐다.또 생명보험 이자율 담합의 경우에는 과징금이 2525억원이 부과됐지만 보험회사는 물론 담합 임직원이 1명도 고발되지 않았다.최근 6년간 임직원이 실제 고발된 것은 7개 사건, 16명에 불과했다.이에 대해 권익위는 현행 법률에 '위반의 정도가 객관적으로 명백·중대해 경쟁질서를 현저히 저해'라는 식으로 추상적으로 규정돼 있는 고발의무 대상 담합행위를 구체화해 법률에 명시하도록 했다.이어 담합으로 상승해 있는 가격이 과징금 부과 이후에도 그대로 유지되는 것을 막기 위해 담합 이전가격으로 내려갈 수 있도록 적극적인 시정조치를 추진할 것도 권고했다.권익위는 그동안 담합 과징금이 관련 매출액의 10%를 상한으로 총 6단계에 걸쳐 산정되는 것과 관련해 담합 과징금 산정과정의 세부 판단기준을 마련하고 과징금 산정의 공정성과 투명성도 높이기로 했다. 이밖에도 담합사건을 조사하는 위원회 운영의 공정성과 투명성도 확대하는 방안도 권고했다.권익위는 공정위 직원이 이해관계가 있는 자의 담합사건의 조사·심리 등에 관여하는 것을 원천적으로 차단하기 위해 이해충돌 방지장치로써 제척·기피·회피 규정을 강화하도록 했다. 또 과징금 가중·감경의 근거와 이유를 의결서에 구체적으로 명시해 최종 과징금 산정에 이르는 위원회 의사결정 과정에 대한 투명성도 높이도록 권고했다. 권익위 관계자는 ""제도개선이 이루어지면 담합 피해로 인한 효과적인 구제장치가 마련될 수 있다""며 ""피해배상과 관련한 국민들의 민원이 줄게 되고 담합을 예방하는 효과도 한층 커질 것""이라고 밝혔다.cho84@조재현[관련기사]  런닝맨, 유빈 사고장면 편집 방송해 논란 뉴스1 단독 보도 '총인시설 입찰 비리', 광주시 최대 '뇌물 커넥션'으로 결론  경실련, 박근혜 후보 '투표시간 연장' 간접거부 비판 ‘치아키 선배’ 타마키 히로시, 내년 봄 사무직 여성과 결혼저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0000035485
2,2012.11.08. 오후 2:45,"문재인, 조사권 갖는 국가청렴위 설치 등 '반부패개혁종합방안' 발표","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	(서울=뉴스1) 김승섭 기자 = 문재인 민주통합당 대선후보 선거대책위원회 산하 반부패특별위원회(위원장 김갑배)는 8일 독립적 부패방지기구로서 조사권을 갖은 국가청렴위 설치를 골자로 한 '반부패 개혁 종합 방안'을 발표했다. 반부패특위는 이날 영등포 민주당사에서 브리핑을 갖고 △정부 주도가 아닌 국민과 함께하는 반부패시스템 구축 △부패방지의 예방기능 강화 △낙하산 인사 금지, 철저한 인사검증 등 고위 공직자 도덕성 확보 △범정부적 반부패정책의 수립과 추진 △국민의 신뢰를 받는 반부패기구 설치와 공정하고 투명한 운영 등을 '반부패 개혁 종합방안'의 5대 기본원칙으로 세웠다고 밝혔다. 이어 ▲조사권 갖는 국가청렴위원회 설치 ▲공직자 재산의 엄격한 심사 통한 부정한 재산증식 방지와 이해충돌 방지 ▲고위공직자비리수사처 설치를 통한 장차관, 판검사, 대통령 친인척 등 고위공직자 비리 엄정수사 ▲여야 대선후보간 부정부패 추방 위한 협약식 체결 ▲5대 중대 부패 범죄에 대한 대통령 사면권 제한 ▲고위 공직자 인사검증 법률 제정 ▲금감원, 공정위, 방사청 등 퇴직공직자의 이해관계 기업체 취업 금지 강화 ▲집단소송제, 징벌적 손해배상제 도입으로 중소기업, 소수자 권익 보장 강화 ▲국민소송제 도입으로 국가재정 투명성 강화 ▲정보공개법 전면개정, 정책실명제 법제화로 정부 투명성 제고 등을 핵심 10대 과제로 삼았다. 반부패특위는 ""이명박 정부 들어 민주정부 10년의 성과물인 반부패정책은 실종되고, 반부패 관련 위원회와 기구들이 폐지된 상황에 대해 심각한 우려를 표명한다""며 ""대한민국 청렴도의 지속적 하락과 고위공직자의 도덕성 추락 역시 더 이상 간과할 수 없는 상황에 이르렀기에 이 같은 반부패개혁종합방안을 마련했다""고 밝혔다. cunjam@김승섭[관련기사]  이용대, 여친과 수영장서 뜨거운 키스…""유포자 색출하겠다"" 환경단체 ""문재인 후보, KTX 해저터널 건설공약 폐기 직접 밝혀라"" 대구시교육청 ""학교비정규직 파업 엄정 대처"", 마찰 예상 [수능]1교시 난이도 9월 모의보다 어렵고 지난해보다 쉬워저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0000048688
3,2012.11.08. 오후 6:50,"문재인, 조사권 갖는 국가청렴위 설치 등 '반부패개혁종합방안' 발표(종합)","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
22일 오전 서울 영등포 민주통합당 당사 민주캠프에서 새로운정치위원회 1차회의가 열렸다. 문재인 대선후보 캠프의 반부패특별위원장으로 선임된 김갑배 변호사가 모두발언을 하고 있다.2012.10.22/뉴스1  News1 이광호 기자
(서울=뉴스1) 김승섭 기자 = 문재인 민주통합당 대선후보 선거대책위원회 산하 반부패특별위원회(위원장 김갑배)는 8일 독립적 부패방지기구로서 조사권을 갖은 국가청렴위 설치를 골자로 한 '반부패 개혁 종합 방안'을 발표했다. 반부패특위는 이날 영등포 민주당사에서 브리핑을 갖고 △정부 주도가 아닌 국민과 함께하는 반부패시스템 구축 △부패방지의 예방기능 강화 △낙하산 인사 금지, 철저한 인사검증 등 고위 공직자 도덕성 확보 △범정부적 반부패정책의 수립과 추진 △국민의 신뢰를 받는 반부패기구 설치와 공정하고 투명한 운영 등을 '반부패 개혁 종합방안'의 5대 기본원칙으로 세웠다고 밝혔다. 이어 ▲조사권 갖는 국가청렴위원회 설치 ▲공직자 재산의 엄격한 심사 통한 부정한 재산증식 방지와 이해충돌 방지 ▲고위공직자비리수사처 설치를 통한 장차관, 판검사, 대통령 친인척 등 고위공직자 비리 엄정수사 ▲여야 대선후보간 부정부패 추방 위한 협약식 체결 ▲5대 중대 부패 범죄에 대한 대통령 사면권 제한 ▲고위 공직자 인사검증 법률 제정 ▲금감원, 공정위, 방사청 등 퇴직공직자의 이해관계 기업체 취업 금지 강화 ▲집단소송제, 징벌적 손해배상제 도입으로 중소기업, 소수자 권익 보장 강화 ▲국민소송제 도입으로 국가재정 투명성 강화 ▲정보공개법 전면개정, 정책실명제 법제화로 정부 투명성 제고 등을 핵심 10대 과제로 삼았다. 반부패특위는 ""이명박 정부 들어 민주정부 10년의 성과물인 반부패정책은 실종되고, 반부패 관련 위원회와 기구들이 폐지된 상황에 대해 심각한 우려를 표명한다""며 ""대한민국 청렴도의 지속적 하락과 고위공직자의 도덕성 추락 역시 더 이상 간과할 수 없는 상황에 이르렀기에 이 같은 반부패개혁종합방안을 마련했다""고 밝혔다. 한편, 반부패특위는 국회의원에 대한 불체포특권도 헌법에 위반되지 않는 한에서 제한하는 방안을 추진하기로 했다. 김갑배 위원장은 ""8년 전 쯤 검찰이 국회에 의원 체포 동의안을 제출했는데 부결 처리한적이 있다""며 ""이 부분을 국회법에 적절하게 한계를 둬서 일정한 경우에는 헌법에 위반되지 않는 한에서 제한하는 규정을 둘 수 있다고 생각한다""고 밝혔다. 지난 2004년 당시 선거법 위반 혐의를 받고 있던 박창달 한나라당 의원에 대한 체포동의안이 국회에서 부결되자 시민단체들은 ""불체포 특권을 제한하겠다는 17대 국회의 약속이 결국 말뿐이었다""며 ""국회 개혁을 기대할 수 있을 지 의문""이라고 정치권을 비판했었다. 김 위원장은 당시 대한변협 법제이사로 있으면서 이같은 비판을 주도했고, 문 후보 선대위 김민영 공동선대위원장은 참여연대 시민감시국장으로 있으면서 ""개혁을 말했던 17대 국회의 첫 작품이 선거법 위반혐의를 받고 있는 의원의 체포동의안 부결이라니 개탄스럽다""고 비판한바 있다. cunjam@김승섭[관련기사]  '정글2' 병만족, 아프리카 성인식 '할례' 보고 충격 [수능]수리영역 어려워 당락 영향 미칠 듯...평가원 예측과 차이 MBC 노조 ""김재철 사장 해임안 부결은 여권 측 외압""  입시업체, ""수능 수리영역 지난해 보다 어려워""저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0000049313
4,2012.11.13. 오후 12:05,"권익위, 몽골에 반부패청렴정책 전파","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	(서울=뉴스1) 조재현 기자 = 국민권익위원회는 한국과 몽골 간 반부패 협력을 확대하기 위해 반부패협의회를 개최한다고 13일 밝혔다.14일 오전 몽골 울란바토르 소재 부패방지청에서 열리는 협의회를 통해 양국은 내년까지 연장하기로 했던 양국간 반부패 업무협약을 효과적으로 이행하기 위한 방안을 논의할 예정이다.또 이날 오후부터 3일간 개최되는 한-몽골 반부패 세미나에서는 권익위가 최근 제정을 추진하고 있는 '부정청탁금지 및 공직자의 이해충돌방지법'과 '공직자 행동강령'의 운영 경험을 소개한다.이어 몽골이 올해 제정한 '이해충돌방지법'을 토대로 양국의 이해충돌 방지정책에 대한 정보를 공유할 예정이다.아울러 양국은 유엔반부패협약에서 규정하고 있는 '반부패 국제협력 및 국제사법공조' 관련조항을 이행하기 위한 양국 정부의 노력에 관한 정보교환의 장도 마련한다.몽골은 권익위로부터 청렴도측정시스템을 전수받아 2010년에 최초로 74개 공공기관을 대상으로 청렴도측정을 실시한 데 이어 지난 10월 제2차 평가를 실시했다.몽골은 지속가능한 발전을 위해 2006년 부패방지법을 제정하고 2007년 독립 반부패기구로 몽골부패방지청을 설치했다. 또 최근 이해충돌방지법을 제정하는 등 부정부패 척결에 박차를 가하고 있다. 세미나에 참석하는 곽형석 신고심사심의관은 ""이번 권익위 대표단의 방문으로 몽골의 반부패 역량이 강화되고 한-몽골 간 부패방지 협력이 한층 심화될 것으로 기대된다""고 밝혔다. cho84@조재현[관련기사]  금태섭 ""文-安, 누가 착한가 경쟁하는 건 아니잖나"" 박근혜 후보 세종시行 의미에 지역정가 주목 '애플담당' 홍완훈 삼성電 부사장, 경질성 인사? 특임검사팀, '검사 비리 의혹' 김광준 부장검사 13일 오후 3시 소환 조사저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0000053827
5,2012.11.26. 오후 7:30,"김영란 권익위원장 26일 퇴임…""'김영란법' 계속 추진해달라""","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
김영란 국민권익위원장과 남편 강지원 무소속 대선후보.  News1 
(서울=뉴스1) 김영신 기자 = 김영란 국민권익위원장이 26일 오후 위원장 자리에서 물러났다.김 위원장은 남편인 강지원 변호사가 대통령 선거 출마를 선언하기 직전인 지난 9월4일 장관급인 자신이 공정선거를 저해할 수도 있다는 이유로 청와대에 사직서를 제출한 바 있다. 당시 청와대는 이를 반려했지만 김 위원장은 지난 22일 다시 사직서를 제출했다. 청와대는 이날 김 위원장의 사의를 최종적으로 수용했다.김영란 국민권익위원장이 26일 오후 서울 서대문구 미근동 권익위 대강당에서 열린 이임식에서 이임사를 하고 있다.  News1 
이날 오후 5시 서울 서대문구 미근동 권익위 청사에서 열린 이임식에서 김 위원장은 1년11개월 간의 위원장직을 마치는 소회를 밝혔다.김 위원장은 ""'부정청탁금지 및 이해충돌방지법'(일명 김영란법)은 많은 국민들이 기대를 하고 있는 법으로 미래의 새로운 패러다임으로 전환하는데 필수""라며 ""관계기관을 설득하는 노력을 계속 기울여 빠른 시간 내에 입법을 추진해달라""고 당부했다. 김 위원장은 지난 8월 공직자가 100만원을 넘는 금품이나 향응을 제공받으면 대가성이 없더라고 형사처벌을 받도록 하는 내용을 담은 '부정청탁금지 및 공직자의 이해충돌방지법' 추진을 발표했었다.또 ""제가 몇 마디로 주문만 하면 여러분들이 창의성과 주인의식을 가지고 훌륭한 식탁을 차려내는 모습에 여러차례 감동을 받았다""며 ""이제까지의 성과는 모두 직원 한사람 한사람의 책임감 덕분이었다""는 말로 직원들을 격려했다.김 위원장은 이임식 전 가진 기자들과 간담회에서 ""서강대와 로스쿨 계약이 남아있어 서강대가 원한다면 학교로 돌아가고 싶다""며 ""다시 공직에 진출하는 일은 없을 것""이라고 향후 거취를 밝히기도 했다.eriwhat@김영신[관련기사]  신보라 외모 굴욕 “요괴처럼 보여도...난 좋아” 태연 전진 디스, ""열심히 하시네요, 방귀까지 뀌고"" 크리스마스 이브 ‘솔로대첩’, 설레는 솔로들 김지하 ""박근혜가 대통령되는 게 이상한가""…사실상 지지선언[전문 포함]저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0000070281
6,2012.12.11. 오후 6:35,이성보 신임 권익위원장 “‘김영란법’ 제정위해 노력”,"
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
   이성보 신임 국민권익위원장이 11일 서울 서대문동 미근동 국민권익위원회 신관 대회의실에서 열린 제4대 국민권익위원장 취임식에서 취임사를 하고 있다. 2012.12.11/뉴스1  News1 손형주 인턴기자   
(서울=뉴스1) 이지예 기자 = 이성보(56) 신임 국민권익위원장은 “'공직자의 부정청탁금지 및 이해충돌방지법'(일명 김영란법) 제정에 노력해 청탁 관행 근절을 위한 인프라를 공고히 해야 한다”고 11일 밝혔다. 이 위원장은 이날 서울 서대문동 미근동 권익위원회 신관 대회의실에서 취임식을 갖고 공식 업무를 시작했다. 이 위원장은 취임식에서 “새로 설립된 청렴연수원을 국제적인 반부패 교육의 허브로 육성하겠다”며 “국민의 눈높이에서 국민의 권리와 이익을 보호하며 청렴 사회 구현을 위한 정책 기반을 마련해야 한다”고 말했다.그는 “다수결의 원칙이 지배하는 사회에서 소수자나 사회적 약자의 권리가 부당하게 침해되지 않도록 보호하는 것이 위원회의 중요한 사명”이라며 “이러한 업무를 수행하는데 어떤 형식의 부당한 영향도 받지 않도록 노력할 것”이라고 약속했다.이 위원장은 “업무 처리에 의심받을 만한 행동을 한다면 권익위의 존립기반이 위협받을 수 있다”면서 “국민이 우리 위원회를 들여다보게 하고 거꾸로 우리가 국민들에게 마음을 열어 보임으로써 국민과 함께 호흡해야 한다”고 강조했다. 서울중앙지방법원장을 지낸 이 위원장은 김영란 전 권익위원장이 남편 강지원 변호사의 대선 출마로 사퇴하면서 지난 7일 신임 위원장으로 내정됐다. ezyeah@이지예[관련기사]  착시현상 주차장, 허공에 뜬 글자가 신기해 이수성·정운찬 전 총리 文지지…고건은 혼선끝에 '성원'(종합2보) 朴-文 선거운동 시작 이후 지지율 어떻게 변화했나 안철수 ""투표만이 청년문제 해결할 방법""…대학가 집중 유세(종합)저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0000089851
7,2013.04.08. 오후 1:29,"국민권익위 ""5대 국정과제 추진계획 발표""","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
이성보 국민권익위원장. /뉴스1  News1 박정호 기자""전국 36개 지자체에 이동 신문고 확대""  (서울=뉴스1) 전성무 기자 = 국민권익위원회는 8일 '공익신고 범위 확대 및 신고자 보호 강화' 등을 담은 5가지 국정과제 추진계획을 박근혜 대통령에게 보고했다.이날 오전 청와대 영빈관에서 열린 대통령 업무보고에서 권익위는 △이동 신문고 확대 설치 △국민행복 제안센터 운영 △국민신문고110(정부민원콜)을 통한 정책소통 △공직사회 알선청탁 근절을 포함한 부패관행 해소 △제도개선을 통한 국민행복 인프라 구축 등 5대 중점정책을 발표했다. 5대 중점정책은 최근 늘어나는 권익구제 수요를 충족시키기 위해 국민 민원을 과학적으로 분석해 정책소통을 강화하는데 주안점을 뒀다. 우선 취약계층을 대상으로 찾아가는 이동 신문고를 전국 36개 지방자치단체에 확대 설치한다. 월별 이슈 및 기념일에 따른 '맞춤형 이동 신문고'도 선보인다. 전국 36개 지자체 이동 신문고는 주로 도서산간 등 접근성이 떨어지는 지역에 설치된다. 국민행복 제안센터는 사회적 약자, 서민, 중소기업 등을 위해 작지만 피부에 와 닿는 '손톱 밑 가시'를 뽑아내는 것을 모토로 오는 5월부터 권익위 국민신문고에 설치된다. 민생 관련 고충민원과 행정심판을 집중 관리하고 필요시 제도개선에 나선다.권익위는 또 국민신문고와 110콜센터에 접수된 민원을 분석해 관계부처에 제공한다. 140개 국정과제와 주요 현안 등에 대한 국민의 목소리를 담아 정책피드백을 활성화 하겠다는 취지다. 이를 위해 5월 중으로 국민신문고 민원처리 시스템을 구축키로 했다. 공직사회 부패관행을 해소화기 위해 지난해 설립된 청렴연수원을 확대발전시키고 윤리교육 등 부패방지 대책을 강화한다. 공직자의 청탁알선 및 금품수수 금지를 위한 '부정청탁금지 및 공직자의 이해충돌 방지법' 제정안을 오는 6월까지 국회에 제출할 계획이다. 권익위는 아동안전, 소외계층 보호, 미래성장 지원 등 민생직결 분야의 고충을 예방하도록 관련 제도 개선을 추진할 방침이다. 또 기초생활 보장, 취약계층 생활보호, 가계부담 덜기, 영세기업소상공인 보호, 경제약자 재활, 비정규직 사회보험, 다문화가족 적응 지원, 중증환자 보호, 긴급재난 구호, 국방보훈 등 민생고충 10대 분야를 선정하고 개별 관리에 나서기로 했다. 권익위 관계자는 ""공직사회의 알선청탁 관행을 해소하고 부패를 유발하는 환경과 제도 개선을 통해 청렴하고 깨끗한 정부를 구현하겠다는 대통령의 의지를 반영했다""고 말했다.  lennon@전성무[관련기사]  김기리, 신보라 질투 ""여기서 이러시면…""  LA다저스 매팅리 감독, ""류현진 와우"" LA타임즈, ""류현진, 충분히 효율적""  전화 자주 바꾸는 국민 1위 ""신상 고집에 역시""저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0000237600
8,2013.04.18. 오후 2:01,"권익위, '3대 공직부패' 개선지침 발표","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
민생침해 부패·국가재정 손실부패·부당한 사익추구, 강력 대응  (서울=뉴스1) 박응진 기자 = 반부패정책을 총괄하는 국민권익위원회(위원장 이성보)가 민생침해 부패, 국가재정 손실 부패, 공직자들의 부당한 사익추구 등을 강력 대응할 3대 공직부패로 선정했다.권익위는 18일 오후 2시 경찰청 대강당에서 '2013년도 반부패·청렴 정책 추진 및 고충민원 처리 지침 전달회의'를 열고 450여개 공공기관 담당자들에게 세부지침을 전달했다. 권익위는 민생침해 부패를 개선하기 위해 ""공익신고자 보호제도를 보완·발전시켜 국민 생활안전을 위협하거나 사회·경제적 약자를 위협하는 요인들을 개선해야 한다""고 밝혔다. 또 민생·복지, 교육, 연구개발, 지방행정 등 4대 분야에 대한 부패영향 평가와 지방의회·공공의료·국공립대학교에 대한 특화된 청렴도 평가도 실시한다는 계획이다.국가재정 손실 부패에 대응하기 위해서는 국가재정의 사적낭비를 점검하고 부패수익에 대해서는 철저하게 환수조치한다는 것이 권익위의 방침이다. 공직자들의 부당한 사익추구를 예방하기 위해서는 기관별 특성을 반영한 맞춤형 행동강령을 마련하고 '부정청탁금지 및 공직자의 이해충돌 방지법'을 상반기 중 국회에 제출할 예정이다. 이성보 위원장은 이날 ""공직사회에 조그만 부패도 용납되지 않는 상황임을 모든 공공기관이 깊이 인식하고 있다""며 ""기관별로 부패위험요소를 적극 관리해 사소한 부패도 발생하지 않도록 총력을 기울여 달라""고 당부했다. 이와 함께 권익위는 고충민원 전담부서 운영, 갈등조정 컨설팅, 고충민원 처리 우수기관 인증제 활성화 등 내용이 담긴 '고충민원 주요 업무 처리 지침'을 각 기관 담당자들에게 전달했다.pej86@박응진[관련기사]  MBC '남자가 사랑할 때' 수목극 1위 지켜 최종훈 복귀, '푸른거탑' 말년 병장 돌아온다 심이영, 전현무에 돌발키스 ""분위기에 취해…"" 美 웨이코 비료공장 폭발... 사망 70명, 부상 수백 명 (3보)  저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0000252683
9,2013.04.24. 오후 6:28,"황교안 ""가급적 빨리 상설특검법 만들 것""","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
황교안 법무부장관이 24일 오후 서울 여의도 국회에서 열린 법제사법위원회 사법제도개혁 특별위원회에서 업무보고를 하고 있다. 2013.4.24/뉴스1  News1 허경 기자
(서울=뉴스1) 김현 기자 = 황교안 법무부 장관은 24일 상설특검제 도입과 관련, ""가급적 빠른 시간 내에 법안을 만들어 국회와 폭넓은 논의를 할 계획""이라고 밝혔다. 황 장관은 이날 오후 국회 사법제도개혁특별위원회 2차 회의에 참석, 상설특검제 법안 마련 여부를 묻는 김동철 민주통합당 의원의 질문에 이 같이 답변했다. 황 장관의 발언은 검찰개혁의 일환으로 추진되는 상설특검제의 입법을 법무부가 주도하겠다는 의지를 밝힌 것으로 풀이된다. 앞서 지난 17일 법제사법위원회에서 여야 의원들은 법무부의 상설특검제 입법 주도에 대해 비판한 바 있다. 이와 관련, 민주당 박범계·최원식 의원은 오는 25일 특검이 특별감찰관이 고발하거나 국회가 본회의 의결로 요청한 사건, 법무장관이 수사의뢰한 사건 등을 수사해 공소를 제기할 수 있도록 하는 내용을 골자로 한 '상설특검법' 제정안을 제출할 예정이다. 황 장관은 ""상설특검엔 여러 가지 유형이 있기 때문에 수사의 효율성 등을 감안해 안을 마련하려고 한다""고 말했다.고위공직자비리수사처 신설에 대해 그는 ""법률적으로 문제가 많이 있지 않나 생각하고 있다""고 부정적인 입장을 밝혔다. 황 장관은 전날(23일) 대검찰청이 중앙수사부의 현판 철거식을 가진 것과 관련해선 ""정치권에서도 중수부 폐지에 대해 많은 논의가 있었고, 국민들에게 걱정을 끼친 부분이 있었기 때문에 국민적 시각에 맞춰 현판을 내렸다""고 설명했다. 이어 ""중수부가 부정부패를 척결해온 역량, 효율성 등은 앞으로도 부정부패 사범을 처단하고 엄정하게 사회를 지키는 데 잘 활용돼야 한다""면서 ""중수부 폐지에 따른 특별수사의 공백을 줄이기 위한 방안을 연구하고 있고, (축적돼 온) 효율성과 노하우를 활용할 수 있는 효과적인 시스템을 연구하고 있다""고 밝혔다. 또 '특별수사를 지휘하는 부서가 결국 새로운 형태의 중수부 아니냐'는 홍일표 새누리당 의원의 질문에 ""여러 분들이 걱정한 것은 검찰총장의 직접 지휘를 받는 중수부가 직접 수사에 나서 정치적 중립성을 어그러뜨리는 부분이지, 특별수사 기능 자체를 부정하는 입장은 아닌 것으로 안다""고 답했다. 그는 ""중수부 대체기구를 논의하는 것은 일선에서 특별수사를 담당하는 부서가 있어 수사를 위한 자료와 정보들을 공유할 수 있는 시스템이 필요하기 때문""이라며 ""현재 대검의 다른 부서들인 형사부, 공안부 등도 그렇게 하고 있다. 정상적으로 운영되는 대체기구를 생각하고 있다""고 부연했다. 직무관련성과 대가성이 없어도 금품 수수한 공직자를 처벌하는 내용의 '공직자의 부정청탁금지 및 이해충돌방지법'(일명 김영란법)과 관련해 법무부가 부정적 입장을 보이고 있는 데 대해선 ""반대라기보단 합법적인 법률을 만들기 위해 논의를 하고 있는 것""이라며 ""형벌의 적정성까지 감안하고, 공직자윤리법 등 또 다른 법안의 유사 내용과 균형을 맞춰야 하는 부분이 있다""고 지적했다. 그는 ""처벌의 정당성이 없는 처벌은 죄형법정주의상 문제가 있다""면서 ""경우에 따라선 구성요건을 완화해야 한다고 보는데, 범위를 어떻게 할 것인가를 연구하고 있다""고 말했다. gayunlove@김현[관련기사]  전지현, 뒤늦게 '대박 막걸리' 모델로 나선 사연 전주 폐기물 환경업체서 폭발…2명 사망·8명 부상(종합) 전주 폐기물 업체서 폭발…2명 사망(2보) [투표율 속보] 오후 5시 노원병 35.4%…40%대 중반 전망저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0000261455
10,2013.05.24. 오전 10:01,"민병두 ""'김영란법' 국회가 대신 만든다""","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
민병두 민주당 의원.2013.2.17/뉴스1  News1 이종덕 기자정부 입법예고 후 취지 퇴색, 의원입법으로 원안 발의  (서울=뉴스1) 차윤주 기자 = 공직사회 비리를 근절하기 위해 정부가 추진했던 이른바 '김영란법'이 의원 입법으로 국회에서 다시 추진된다. 민병두 민주당 의원은 국민권익위원회가 지난해 8월 22일 입법예고한 '부정청탁 금지 및 공직자 이해충돌방지법'을 원안대로 의원 입법으로 대표발의하겠다고 24일 밝혔다.국회 정무위 소속인 민 의원은 이날 보도자료를 통해 ""입법예고 9개월이 됐음에도 정부 부처간 협의가 원만하게 진행되지 않고, 특히 각 부처 조율과정에서 원안의 취지가 크게 후퇴하는 등 누더기법안 우려가 제기되고 있다""며 이같이 밝혔다.당초 권익위가 발의한 '김영란법'은 공직자의 공정한 직무수행을 저해하는 부정청탁 관행을 근절하고, 공직자의 금품 향응 등의 수수행위를 직무관련성 또는 대가성이 없는 경우에도 처벌이 가능하도록 했다. 또한 공직자의 직무수행과 관련한 사익 추구를 금지해 공공기관에 대한 신뢰를 확보하고 공직자의 청렴성을 높이겠다는 것이 주요 내용이다.그러나 지난해 입법예고 후 정부 부처협의 과정에서 당초 '공직자의 대가성이 없는 100만원 이상 금품수수 행위에 대해 징역·벌금형으로 형사처벌'토록 한 규정이 형사처벌 대신 과태료를 부과하는 방안으로 후퇴한데다, 처벌 대상도 직무관련성이 있는 금품을 받은 공직자로 한정하는 방안으로 변경돼 법안 취지가 퇴색됐다는 비판이 일고 있다.chacha@차윤주[관련기사]  장윤정 측 ""남동생·어머니 말에 대응 안 해"" 손호영, 숨진 여자 친구 발인식 참석 경복궁 야간개방, 관람인원 제한 손호영, 여자친구 숨진 차량서 자살 시도(종합)저작권자  뉴스1코리아, 무단전재 및 재배포 금지
	
	",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0000302248
