단어_1기_빈도,빈도_1기,단어_1기_가중로그승산비,가중로그승산비_1기,단어_2기_빈도,빈도_2기,단어_2기_가중로그승산비,가중로그승산비_2기
공직자,366,금품,5.0475,의원,792,토지,6.1273
김영란법,216,대가,4.7705,공직자,770,국민의힘,6.0629
부패,208,부패,4.7656,국회,701,신도시,5.91
국회,194,김영란법,4.5675,이해충돌,688,국토,4.7592
법안,170,직무관련성,4.2854,부동산,470,매입,4.5918
부정청탁,163,금품수수,4.2725,관련,463,손혜원,4.1441
공무원,161,형사처벌,4.1714,한국토지주택공사,427,국회법,4.0486
국민,147,부정청탁,3.6669,이해충돌방지법,391,백지,4.0486
금품,147,원안,3.5514,국민,355,신탁,3.9178
정부,146,법안,3.4685,국회의원,340,자유한국당,3.7825
관련,122,김영란,3.4649,방지,336,투기,3.7825
국민권익위원회,122,관피아,3.3834,의혹,334,소유,3.7479
이해충돌방지법,117,공직사회,3.3169,정부,323,펀드,3.7479
금지,112,공무원,3.2931,더불어민주당,283,목포,3.6062
직무,111,공직자,3.2439,규정,263,박덕흠,3.4209
처벌,109,뇌물,3.243,문제,261,광명,3.3439
사회,108,향응,3.1489,직무,255,농지,3.3439
이해충돌,106,국민권익위원회,2.9994,직원,241,정의당,3.3439
통과,106,과태료,2.9643,금지,240,조국,3.2251
방지,98,부패척결,2.9035,입법,231,수주,3.0594
