topic,term,beta
1,공직자,0.03578009542869275
1,직무,0.022624544016196523
1,이해충돌,0.021578764030205956
1,공무원,0.01855597445309883
1,업무,0.014591581183928068
1,관련,0.014367249714736687
1,금지,0.012335636759254314
1,규정,0.01199447533786018
1,주식,0.011600305560529277
1,심사,0.01112514971137953
1,사적,0.010242438032705269
1,방지,0.009935791886901963
1,기관,0.009263435509792846
1,이해,0.009109726959980323
1,이해관계,0.008854828037072021
1,퇴직,0.008625078340145986
1,이상,0.008475487731762092
1,내용,0.008259736438480212
1,소속,0.007835908884110832
1,부정청탁,0.007799991651402648
1,신고,0.007783768798773525
1,의무,0.007555337568079661
1,재산,0.007333185706711463
1,고위공직자,0.007244550356871828
1,충돌방지,0.0072121793443344125
1,해당,0.007211487773126753
1,청탁,0.00698611921584684
1,백지,0.006791426277382079
1,행동강령,0.006725001360124684
1,자신,0.006441930134782237
2,국회,0.03936251093596928
2,이해충돌방지법,0.031487201576033415
2,공직자,0.031287979753173996
2,법안,0.02283150696664897
2,처리,0.016661312777169975
2,통과,0.015830059176628285
2,의원,0.013089419981709103
2,입법,0.012655084810166741
2,관련,0.012561358407731264
2,제정,0.011580815456606663
2,국회의원,0.011294511735163723
2,정무위원회,0.010902566434277242
2,회원,0.010118561939883093
2,논의,0.009787872103238733
2,위원,0.009714853296588284
2,제출,0.009696963614847986
2,적용,0.009105729471755985
2,이해충돌,0.009070001335466923
2,직무,0.008200590002748847
2,여야,0.008104657296270376
2,포함,0.007967477402263003
2,개정안,0.007935903512470574
2,본회의,0.007921396689800627
2,이하,0.0079110337039016
2,이익,0.007870933210430793
2,더불어민주당,0.007851858028282165
2,대상,0.007224493084537081
2,사적,0.007219375984429503
2,이용,0.0072110577436817775
2,공공기관,0.007036920543385739
3,대통령,0.030875297066351146
3,부동산,0.0219320888240202
3,정부,0.01504581787327055
3,더불어민주당,0.01430160382198008
3,의혹,0.013220726212723322
3,한국토지주택공사,0.013071652253694202
3,청와대,0.01274422077068328
3,국민,0.0111212881644074
3,수사,0.009964953108675251
3,장관,0.009902684659747021
3,공직자,0.00940942848088698
3,문재인,0.009003282645094245
3,원내대표,0.007416090036096105
3,문제,0.007346241514592985
3,사회,0.007241526309788354
3,검찰,0.007093556539089775
3,사건,0.007031958561539086
3,특검,0.0063076438322002765
3,개혁,0.006270860665621797
3,공정,0.006136954365974175
3,이번,0.006130780460624853
3,사태,0.006069685731026901
3,여당,0.005977595572734387
3,조사,0.005833429750883875
3,펀드,0.005670434250717227
3,사과,0.005622212000314918
3,청산,0.00560693068846432
3,투자,0.005568316242158886
3,우리,0.00532238866935949
3,부패,0.005277705833666377
4,의원,0.062315949695642386
4,이해충돌,0.02978185768153543
4,국회,0.024913621631081313
4,국회의원,0.02440166964535659
4,의혹,0.011974393758913173
4,특권,0.011430605475071767
4,방지,0.010763807259660807
4,국민,0.010507885799842184
4,문제,0.008608088770737439
4,대표,0.008592988171011938
4,더불어민주당,0.008562639646898206
4,자유한국당,0.008503108419034091
4,논란,0.0076100297226351045
4,이익,0.0076070535370313525
4,손혜원,0.007138138727284163
4,부동산,0.007127343221521978
4,규정,0.007083910878141948
4,지적,0.007077233713912208
4,목포,0.006315776196162853
4,후보자,0.00600490036464036
4,주장,0.005769432474307502
4,관련,0.005636357355058651
4,입법,0.005571798904469999
4,필요,0.004874893896506279
4,이용,0.004803316777355941
4,조항,0.004790781502208618
4,김영란법,0.004498204462725092
